STATE/UT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
A & N Islands,2001,8,23,15,15,14,19,14,19,7,12,13,22,181
A & N Islands,2002,12,10,14,16,10,7,16,11,23,21,11,17,168
A & N Islands,2003,19,13,15,13,13,12,8,16,17,25,14,15,180
A & N Islands,2004,21,14,22,17,13,18,16,19,16,20,15,24,215
A & N Islands,2005,19,21,22,17,13,19,21,14,15,19,10,16,206
A & N Islands,2006,21,13,4,22,9,14,12,14,8,14,6,18,155
A & N Islands,2007,17,16,12,22,12,14,8,10,11,7,11,12,152
A & N Islands,2008,17,22,15,16,15,17,13,11,13,17,11,24,191
A & N Islands,2009,16,23,23,21,21,19,24,25,31,22,20,26,271
A & N Islands,2010,16,30,28,15,29,24,22,18,25,30,27,21,285
A & N Islands,2011,24,10,19,24,13,28,17,18,25,17,18,22,235
A & N Islands,2012,25,15,24,24,18,16,17,18,18,25,17,19,236
A & N Islands,2013,24,23,16,15,13,16,14,25,14,15,14,11,200
A & N Islands,2014,25,13,19,19,18,15,15,16,15,23,18,22,218
Andhra Pradesh,2001,2204,2437,2405,2351,2550,2284,2025,2077,2070,2276,2122,2387,27188
Andhra Pradesh,2002,2492,2453,2835,2786,3195,2880,2645,2607,2555,2624,2646,2859,32577
Andhra Pradesh,2003,2783,2569,2870,2635,3265,2924,2657,2934,2767,2881,3037,3215,34537
Andhra Pradesh,2004,3019,3131,3211,3100,3257,2942,2827,3079,2972,3041,3129,3370,37078
Andhra Pradesh,2005,3189,3193,3182,3056,3612,3247,2907,3028,2742,2928,2975,3230,37289
Andhra Pradesh,2006,3568,3224,3496,3634,3962,3400,3334,3311,3232,3306,3268,3588,41323
Andhra Pradesh,2007,3978,3530,3728,3842,4099,3594,3519,3348,3246,3447,3617,3646,43594
Andhra Pradesh,2008,3594,3468,3848,3967,3811,3391,3260,3324,3169,3352,3319,3603,42106
Andhra Pradesh,2009,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331,42011
Andhra Pradesh,2010,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575,42428
Andhra Pradesh,2011,3540,3195,3584,3396,3916,3793,3237,3106,3067,3398,3442,3392,41066
Andhra Pradesh,2012,3347,3390,3693,3589,3250,3187,3160,3177,2893,3205,2985,3468,39344
Andhra Pradesh,2013,3732,3482,3715,3648,4531,3736,3018,3465,3450,3137,3432,3702,43048
Andhra Pradesh,2014,3809,3657,3641,3582,3986,3664,3167,3587,3225,3410,3346,4158,43232
Arunachal Pradesh,2001,19,17,21,16,19,14,21,14,23,17,30,25,236
Arunachal Pradesh,2002,25,16,21,23,16,19,11,17,18,21,25,23,235
Arunachal Pradesh,2003,16,24,22,13,18,17,19,21,23,18,16,22,229
Arunachal Pradesh,2004,23,24,23,11,15,11,14,8,21,29,17,21,217
Arunachal Pradesh,2005,26,14,29,12,17,20,20,14,19,21,24,21,237
Arunachal Pradesh,2006,14,20,17,19,20,31,11,25,18,25,21,22,243
Arunachal Pradesh,2007,22,20,26,19,25,19,14,15,22,18,11,19,230
Arunachal Pradesh,2008,20,21,18,16,33,24,13,18,27,20,24,27,261
Arunachal Pradesh,2009,20,21,18,16,33,24,13,18,27,20,24,27,261
Arunachal Pradesh,2010,31,33,20,26,28,23,14,15,18,20,23,29,280
Arunachal Pradesh,2011,22,24,30,22,29,9,28,22,16,25,15,21,263
Arunachal Pradesh,2012,17,21,24,16,11,13,20,18,14,16,20,14,204
Arunachal Pradesh,2013,23,33,16,23,25,27,27,28,24,25,29,28,308
Arunachal Pradesh,2014,28,10,10,21,9,12,13,14,14,15,22,17,185
Assam,2001,141,127,202,173,176,137,140,160,132,140,132,146,1806
Assam,2002,196,210,185,159,182,163,144,237,180,180,222,185,2243
Assam,2003,194,143,193,180,169,180,162,167,205,188,180,184,2145
Assam,2004,183,172,170,160,176,168,118,170,157,167,182,179,2002
Assam,2005,307,334,317,287,306,308,297,354,286,311,287,262,3656
Assam,2006,297,333,365,318,363,352,370,289,335,325,378,355,4080
Assam,2007,383,358,392,395,375,331,299,305,296,308,275,278,3995
Assam,2008,375,381,399,363,339,326,371,370,344,308,346,340,4262
Assam,2009,388,385,400,377,394,376,393,331,387,405,367,382,4585
Assam,2010,418,450,496,452,396,416,455,454,504,525,451,468,5485
Assam,2011,554,545,607,515,518,557,502,515,532,551,590,583,6569
Assam,2012,590,599,605,601,567,536,486,458,418,544,543,588,6535
Assam,2013,634,555,603,632,595,580,535,552,601,697,635,592,7211
Assam,2014,658,615,689,612,566,531,573,528,460,670,638,604,7144
Bihar,2001,325,361,474,336,528,417,329,336,317,289,317,305,4334
Bihar,2002,380,366,401,391,560,477,362,303,227,290,326,289,4372
Bihar,2003,337,340,368,359,440,429,326,241,255,263,258,286,3902
Bihar,2004,296,349,407,308,413,392,253,258,320,290,297,307,3890
Bihar,2005,262,254,354,340,463,381,310,263,241,255,301,322,3746
Bihar,2006,306,348,395,389,439,386,363,341,320,381,380,334,4382
Bihar,2007,443,464,505,518,635,551,438,375,347,427,484,444,5631
Bihar,2008,447,485,612,583,621,529,441,465,422,487,591,497,6180
Bihar,2009,543,706,754,595,925,911,712,592,574,634,699,721,8366
Bihar,2010,610,698,722,650,833,1034,723,689,546,606,665,665,8441
Bihar,2011,750,808,964,737,964,880,769,644,618,759,773,689,9355
Bihar,2012,799,905,915,1027,909,1003,822,787,728,763,837,825,10320
Bihar,2013,800,792,815,813,1269,913,882,758,735,765,845,811,10198
Bihar,2014,777,742,852,714,985,1002,757,662,685,720,829,806,9531
Chandigarh,2001,48,25,34,47,48,46,34,31,53,37,38,52,493
Chandigarh,2002,33,42,47,42,39,34,45,46,39,38,41,48,494
Chandigarh,2003,43,35,38,40,36,32,29,36,39,43,41,31,443
Chandigarh,2004,27,36,40,23,36,26,29,34,40,37,45,38,411
Chandigarh,2005,46,38,32,27,43,44,41,50,56,52,55,44,528
Chandigarh,2006,52,42,43,42,51,42,31,43,45,46,34,50,521
Chandigarh,2007,36,39,50,39,48,35,45,48,55,60,48,33,536
Chandigarh,2008,38,34,46,45,42,39,38,46,36,42,34,37,477
Chandigarh,2009,35,32,41,25,26,29,37,35,50,38,40,36,424
Chandigarh,2010,31,39,40,35,31,33,31,30,36,54,44,52,456
Chandigarh,2011,27,46,40,37,49,35,35,27,26,45,24,50,441
Chandigarh,2012,34,41,29,40,26,30,36,43,30,35,35,33,412
Chandigarh,2013,36,27,38,43,40,34,38,31,30,31,37,24,409
Chandigarh,2014,35,22,31,40,32,25,22,32,38,31,28,30,366
Chhattisgarh,2001,428,385,403,448,504,425,367,371,400,425,393,438,4987
Chhattisgarh,2002,477,439,522,511,584,468,434,444,448,515,453,506,5801
Chhattisgarh,2003,649,565,589,647,629,613,586,524,501,595,543,582,7023
Chhattisgarh,2004,553,532,534,586,592,501,409,437,439,532,483,477,6075
Chhattisgarh,2005,472,513,537,513,566,530,558,421,435,496,483,472,5996
Chhattisgarh,2006,624,611,607,631,710,598,534,534,507,575,607,573,7111
Chhattisgarh,2007,787,632,638,729,701,630,619,544,642,660,599,656,7837
Chhattisgarh,2008,773,712,746,859,848,704,659,589,706,783,655,735,8769
Chhattisgarh,2009,721,689,643,689,710,670,639,595,617,642,659,639,7913
Chhattisgarh,2010,670,627,671,652,705,612,655,606,605,684,655,660,7802
Chhattisgarh,2011,868,795,804,725,903,793,747,660,636,770,723,771,9195
Chhattisgarh,2012,1253,1161,1175,1188,1182,1121,1103,990,1016,1107,1084,1131,13511
Chhattisgarh,2013,1384,1269,1288,1139,1209,1131,1025,1029,1005,1042,1046,1090,13657
Chhattisgarh,2014,1167,1110,1000,1020,1149,1051,934,877,910,1005,973,944,12140
D & N Haveli,2001,6,11,6,8,9,7,4,7,9,8,5,7,87
D & N Haveli,2002,10,6,3,5,12,9,6,5,6,3,9,6,80
D & N Haveli,2003,6,10,6,4,8,5,1,6,4,8,8,7,73
D & N Haveli,2004,6,10,12,11,10,8,7,5,11,14,5,12,111
D & N Haveli,2005,13,13,9,3,10,16,12,11,5,10,10,15,127
D & N Haveli,2006,9,5,13,8,5,8,9,6,10,7,9,14,103
D & N Haveli,2007,12,7,14,6,7,10,8,14,14,13,0,11,116
D & N Haveli,2008,10,15,12,8,14,8,8,9,5,7,9,11,116
D & N Haveli,2009,6,5,2,3,4,4,3,3,0,4,6,5,45
D & N Haveli,2010,9,10,4,7,5,7,10,4,2,6,7,8,79
D & N Haveli,2011,12,7,6,8,9,10,6,7,8,10,7,13,103
D & N Haveli,2012,7,11,15,7,5,7,4,5,9,7,2,6,85
D & N Haveli,2013,11,5,11,8,5,7,6,8,8,9,5,8,91
D&N Haveli,2014,6,7,7,10,9,4,8,7,7,8,8,6,87
Daman & Diu,2001,2,1,4,2,3,5,3,3,4,3,4,1,35
Daman & Diu,2002,5,3,8,6,4,4,10,1,5,5,5,12,68
Daman & Diu,2003,6,8,5,4,3,5,16,4,4,7,4,6,72
Daman & Diu,2004,8,2,2,2,3,6,5,3,2,3,8,3,47
Daman & Diu,2005,5,6,4,6,5,4,0,5,3,4,7,8,57
Daman & Diu,2006,6,7,4,9,9,2,4,3,2,5,5,1,57
Daman & Diu,2007,8,4,4,7,5,4,5,7,3,4,6,3,60
Daman & Diu,2008,3,2,9,9,3,1,2,2,3,5,7,4,50
Daman & Diu,2009,2,2,2,2,1,2,2,1,1,1,2,3,21
Daman & Diu,2010,6,2,0,2,4,4,2,2,4,1,3,6,36
Daman & Diu,2011,2,2,2,1,1,1,1,2,2,2,2,3,21
Daman & Diu,2012,7,3,5,5,3,4,5,1,2,1,7,7,50
Daman & Diu,2013,6,2,2,4,1,4,1,1,5,2,2,0,30
Daman & Diu,2014,6,4,3,3,2,2,0,5,1,5,2,6,39
Delhi (Ut),2001,707,681,786,762,810,779,763,811,780,821,798,784,9282
Delhi (Ut),2002,695,710,847,698,702,665,768,801,706,724,669,725,8710
Delhi (Ut),2003,638,645,689,714,719,747,785,803,791,859,778,701,8869
Delhi (Ut),2004,730,746,755,719,747,766,727,793,761,778,843,745,9110
Delhi (Ut),2005,777,722,850,698,815,773,806,900,831,780,835,793,9580
Delhi (Ut),2006,718,726,868,779,796,754,846,863,804,832,865,848,9699
Delhi (Ut),2007,818,809,839,786,752,757,834,768,833,1196,921,1215,10528
Delhi (Ut),2008,698,696,780,747,713,691,731,721,707,704,671,707,8566
Delhi (Ut),2009,607,632,644,646,657,565,610,707,609,639,642,656,7614
Delhi (Ut),2010,559,574,616,569,639,545,640,600,574,614,652,638,7220
Delhi (Ut),2011,562,619,631,575,606,570,633,637,589,685,593,580,7280
Delhi (Ut),2012,540,544,570,556,554,556,571,554,658,603,625,606,6937
