STATE/UT,YEAR,0-3 hrs. (Night),3-6 hrs. (Night),6-9 hrs (Day),9-12 hrs (Day),12-15 hrs (Day),15-18 hrs (Day),18-21 hrs (Night),21-24 hrs (Night),Total
A & N Islands,2001,2,6,29,40,39,40,18,7,181
A & N Islands,2002,2,6,22,41,33,33,23,8,168
A & N Islands,2003,2,8,31,35,28,36,25,15,180
A & N Islands,2004,2,5,29,42,43,43,37,14,215
A & N Islands,2005,0,8,27,28,38,42,50,13,206
A & N Islands,2006,1,3,17,33,33,23,38,7,155
A & N Islands,2007,2,5,20,30,30,27,31,7,152
A & N Islands,2008,3,7,33,24,40,31,40,13,191
A & N Islands,2009,2,6,35,41,64,54,50,19,271
A & N Islands,2010,2,10,36,45,64,57,53,18,285
A & N Islands,2011,4,3,36,27,46,50,51,18,235
A & N Islands,2012,4,6,26,29,54,45,58,14,236
A & N Islands,2013,2,3,22,31,40,40,37,25,200
A & N Islands,2014,4,6,25,28,55,36,41,23,218
Andhra Pradesh,2001,2239,3265,3198,3729,3604,3792,4098,3263,27188
Andhra Pradesh,2002,2931,3857,3671,4255,4153,4778,4844,4088,32577
Andhra Pradesh,2003,3158,4865,3749,4319,4266,4853,5218,4109,34537
Andhra Pradesh,2004,3191,4770,4598,5030,4033,4971,6031,4454,37078
Andhra Pradesh,2005,3826,6011,5002,4137,4261,4524,5096,4432,37289
Andhra Pradesh,2006,3635,5525,4270,5108,4918,6101,6757,5009,41323
Andhra Pradesh,2007,4054,4890,4748,5826,5547,6236,6719,5574,43594
Andhra Pradesh,2008,4051,4492,4532,5558,5620,6045,6453,5355,42106
Andhra Pradesh,2009,3718,4433,4569,5332,5320,6154,6302,6183,42011
Andhra Pradesh,2010,3822,5347,5553,5438,5176,5548,6363,5181,42428
Andhra Pradesh,2011,3577,4958,4494,5897,5420,5716,6418,4586,41066
Andhra Pradesh,2012,3026,3795,4413,5413,4978,5616,6877,5226,39344
Andhra Pradesh,2013,3742,4679,4857,5539,5430,6171,7269,5361,43048
Andhra Pradesh,2014,3336,4466,4312,5631,5882,6669,7177,5759,43232
Arunachal Pradesh,2001,9,24,21,46,31,45,36,24,236
Arunachal Pradesh,2002,8,22,32,46,40,36,38,13,235
Arunachal Pradesh,2003,9,21,29,47,36,37,36,14,229
Arunachal Pradesh,2004,6,9,32,47,39,45,30,9,217
Arunachal Pradesh,2005,5,12,29,46,44,49,38,14,237
Arunachal Pradesh,2006,16,19,32,44,40,43,33,16,243
Arunachal Pradesh,2007,20,23,24,40,37,45,25,16,230
Arunachal Pradesh,2008,21,15,17,44,58,50,41,15,261
Arunachal Pradesh,2009,21,15,17,44,58,50,41,15,261
Arunachal Pradesh,2010,8,16,38,48,50,68,35,17,280
Arunachal Pradesh,2011,12,12,36,46,52,55,39,11,263
Arunachal Pradesh,2012,4,17,22,41,34,51,23,12,204
Arunachal Pradesh,2013,4,16,27,56,61,76,51,17,308
Arunachal Pradesh,2014,6,5,13,24,26,45,36,30,185
Assam,2001,133,150,259,346,300,285,234,99,1806
Assam,2002,167,240,322,411,335,339,272,157,2243
Assam,2003,129,219,295,434,330,364,247,127,2145
Assam,2004,101,170,287,457,340,339,204,104,2002
Assam,2005,172,282,584,731,664,668,365,190,3656
Assam,2006,159,275,679,916,753,799,313,186,4080
Assam,2007,195,230,690,941,752,610,362,215,3995
Assam,2008,220,259,777,915,747,780,369,195,4262
Assam,2009,165,218,667,1039,912,961,437,186,4585
Assam,2010,231,255,898,1313,972,1058,480,278,5485
Assam,2011,275,216,1110,1494,1166,1118,762,428,6569
Assam,2012,176,206,955,1357,1260,1219,905,457,6535
Assam,2013,181,283,1078,1501,1356,1315,942,555,7211
Assam,2014,212,277,939,1475,1225,1438,1023,555,7144
Bihar,2001,344,541,618,690,552,625,503,461,4334
Bihar,2002,297,395,710,777,718,637,495,343,4372
Bihar,2003,374,423,531,664,580,567,477,286,3902
Bihar,2004,286,494,466,638,689,537,436,344,3890
Bihar,2005,233,435,643,632,644,540,419,200,3746
Bihar,2006,263,524,661,745,709,610,500,370,4382
Bihar,2007,356,739,868,866,838,918,664,382,5631
Bihar,2008,361,907,928,1006,845,1002,702,429,6180
Bihar,2009,703,1052,1232,1215,1007,1335,1126,696,8366
Bihar,2010,720,923,1037,1267,1210,1288,1168,828,8441
Bihar,2011,690,903,1167,1512,1511,1492,1240,840,9355
Bihar,2012,666,763,1733,1725,1653,1569,1269,942,10320
Bihar,2013,640,1622,1555,1500,1369,1455,1337,720,10198
Bihar,2014,672,987,1429,1429,1460,1421,1262,871,9531
Chandigarh,2001,15,10,41,81,81,90,94,81,493
Chandigarh,2002,40,49,54,63,68,74,89,57,494
Chandigarh,2003,17,10,35,54,63,85,111,68,443
Chandigarh,2004,20,4,27,65,80,72,72,71,411
Chandigarh,2005,23,15,30,70,88,95,117,90,528
Chandigarh,2006,28,8,35,58,93,83,114,102,521
Chandigarh,2007,29,9,39,77,80,75,122,105,536
Chandigarh,2008,27,15,35,50,76,68,108,98,477
Chandigarh,2009,29,15,43,54,56,53,91,83,424
Chandigarh,2010,17,19,45,62,57,78,94,84,456
Chandigarh,2011,33,47,27,52,47,38,109,88,441
Chandigarh,2012,22,7,36,49,60,62,94,82,412
Chandigarh,2013,41,16,26,40,59,65,87,75,409
Chandigarh,2014,32,29,42,51,41,56,66,49,366
Chhattisgarh,2001,279,353,632,1026,762,859,684,392,4987
Chhattisgarh,2002,384,528,847,813,892,927,794,616,5801
Chhattisgarh,2003,611,732,859,1099,959,929,938,896,7023
Chhattisgarh,2004,359,431,719,1165,868,910,818,805,6075
Chhattisgarh,2005,445,712,782,1016,920,805,716,600,5996
Chhattisgarh,2006,531,570,918,1229,1197,1069,958,639,7111
Chhattisgarh,2007,498,846,1081,1230,1210,1173,990,809,7837
Chhattisgarh,2008,594,957,1199,1452,1414,1141,1133,879,8769
Chhattisgarh,2009,414,692,998,1408,1219,1165,1193,824,7913
Chhattisgarh,2010,579,756,1007,1417,1254,1095,1034,660,7802
Chhattisgarh,2011,572,814,1275,1514,1493,1385,1293,849,9195
Chhattisgarh,2012,1159,1415,1708,1885,1936,1886,1995,1527,13511
Chhattisgarh,2013,1261,1477,1691,1863,1889,2035,1993,1448,13657
Chhattisgarh,2014,648,849,1469,1916,1702,2102,2072,1382,12140
D & N Haveli,2001,3,0,13,13,13,17,20,8,87
D & N Haveli,2002,1,2,11,11,7,17,19,12,80
D & N Haveli,2003,4,2,4,12,10,12,17,12,73
D & N Haveli,2004,7,8,7,15,19,22,22,11,111
D & N Haveli,2005,6,3,14,20,17,24,32,11,127
D & N Haveli,2006,2,6,8,10,17,18,28,14,103
D & N Haveli,2007,9,1,10,13,16,17,29,21,116
D & N Haveli,2008,2,2,7,17,15,20,30,23,116
D & N Haveli,2009,1,0,5,6,3,6,14,10,45
D & N Haveli,2010,2,0,11,8,11,13,21,13,79
D & N Haveli,2011,4,2,8,10,13,20,32,14,103
D & N Haveli,2012,3,1,9,9,11,18,21,13,85
D & N Haveli,2013,3,2,7,12,20,19,19,9,91
D & N Haveli,2014,1,1,8,7,13,22,27,8,87
Daman & Diu,2001,0,2,2,6,9,9,5,2,35
Daman & Diu,2002,7,6,7,8,7,10,13,10,68
Daman & Diu,2003,4,0,3,5,10,15,17,18,72
Daman & Diu,2004,5,0,4,7,6,9,10,6,47
Daman & Diu,2005,4,0,1,10,9,11,12,10,57
Daman & Diu,2006,3,1,5,7,10,12,7,12,57
Daman & Diu,2007,7,0,1,2,14,10,17,9,60
Daman & Diu,2008,4,1,3,6,6,9,11,10,50
Daman & Diu,2009,1,0,3,2,5,5,4,1,21
Daman & Diu,2010,1,1,1,4,5,8,8,8,36
Daman & Diu,2011,2,0,2,4,7,3,2,1,21
Daman & Diu,2012,1,1,4,4,9,11,13,7,50
Daman & Diu,2013,3,0,1,4,4,7,5,6,30
Daman & Diu,2014,3,0,4,6,5,7,12,2,39
Delhi (Ut),2001,998,762,1102,1176,1140,1189,1393,1522,9282
Delhi (Ut),2002,788,527,931,1132,1148,1200,1491,1493,8710
Delhi (Ut),2003,764,565,906,1091,1151,1248,1507,1637,8869
Delhi (Ut),2004,836,709,817,1189,1230,1206,1617,1506,9110
Delhi (Ut),2005,825,640,988,1250,1264,1387,1708,1518,9580
Delhi (Ut),2006,964,743,946,1270,1207,1328,1592,1649,9699
Delhi (Ut),2007,1183,902,1087,1296,1250,1434,1818,1558,10528
Delhi (Ut),2008,839,730,865,1003,1138,1255,1373,1363,8566
Delhi (Ut),2009,644,574,886,944,1069,1066,1306,1125,7614
Delhi (Ut),2010,597,502,778,905,928,998,1234,1278,7220
Delhi (Ut),2011,607,535,794,936,963,1087,1100,1258,7280
Delhi (Ut),2012,638,509,648,872,920,1039,1131,1180,6937
Delhi (Ut),2013,764,662,718,828,896,981,1341,1379,7569
Delhi (Ut),2014,757,581,867,925,909,1208,1502,1561,8310
Goa,2001,52,33,152,248,233,299,229,129,1375
Goa,2002,57,44,147,204,173,209,239,128,1201
Goa,2003,81,38,144,284,306,345,323,157,1678
Goa,2004,74,33,161,220,274,263,248,269,1542
Goa,2005,56,38,110,165,187,208,191,114,1069
Goa,2006,200,138,335,559,702,712,692,411,3749
Goa,2007,212,117,407,599,719,798,755,415,4022
Goa,2008,194,139,378,618,772,828,760,490,4179
Goa,2009,200,132,410,635,740,837,756,460,4170
Goa,2010,195,164,443,736,848,873,876,439,4574
Goa,2011,261,178,431,749,783,901,812,446,4561
Goa,2012,208,155,424,666,807,799,775,454,4288
Goa,2013,226,175,374,703,785,819,753,458,4293
Goa,2014,189,173,371,712,752,791,785,457,4230
Gujarat,2001,1267,1338,2316,3263,3119,3163,3161,2181,19808
Gujarat,2002,1106,1120,2239,3150,2968,3030,2985,2142,18740
Gujarat,2003,1070,1238,2170,3094,2733,2881,2998,1918,18102
Gujarat,2004,1152,1339,2109,2895,2856,3079,2994,2054,18478
Gujarat,2005,1428,1324,2091,2860,2917,2846,2928,2147,18541
Gujarat,2006,1277,1533,2216,2837,2968,2960,3029,2124,18944
Gujarat,2007,1468,2013,2503,3085,3009,3419,3319,2617,21433
Gujarat,2008,1432,1631,2535,3263,3169,3323,3449,2225,21027
Gujarat,2009,1239,1640,2545,3110,2918,3282,3255,2112,20101
Gujarat,2010,1348,1670,2507,3232,2968,3267,3341,2165,20498
Gujarat,2011,1962,2282,3571,4941,4595,4751,4767,3330,30199
Gujarat,2012,2085,2603,3286,4190,3802,4045,4403,2853,27267
Gujarat,2013,1747,2023,2910,3836,3681,4003,4134,2701,25035
Gujarat,2014,1232,1541,2496,3595,3328,3735,3791,2434,22152
Haryana,2001,407,625,1003,1015,894,882,832,715,6373
Haryana,2002,615,740,1070,1004,877,992,1006,783,7087
Haryana,2003,709,910,793,888,823,837,826,638,6424
Haryana,2004,845,1014,1042,1069,998,989,1070,881,7908
Haryana,2005,760,859,1020,962,898,1065,1165,953,7682
Haryana,2006,1155,1112,1277,1191,1114,1317,1760,1336,10262
Haryana,2007,1080,1033,1313,1312,1267,1407,1767,1137,10316
Haryana,2008,1089,1236,1367,1374,1380,1622,1911,1262,11241
Haryana,2009,860,1184,1488,1580,1526,1670,1870,1249,11427
Haryana,2010,799,1105,1617,1517,1481,1715,1756,1171,11161
Haryana,2011,685,1049,1319,1302,1364,1720,1811,1303,10553
Haryana,2012,578,941,1263,1268,1350,1613,1802,1156,9971
Haryana,2013,651,957,1423,1485,1474,1546,1714,1223,10473
Haryana,2014,726,868,1459,1646,1493,1740,1887,1224,11043
Himachal Pradesh,2001,75,145,207,271,252,362,446,352,2110
Himachal Pradesh,2002,81,124,267,352,255,345,497,360,2281
Himachal Pradesh,2003,87,85,320,484,334,377,402,270,2359
Himachal Pradesh,2004,135,141,323,451,358,453,357,297,2515
Himachal Pradesh,2005,123,88,268,395,397,396,444,290,2401
Himachal Pradesh,2006,112,120,314,495,444,425,307,199,2416
Himachal Pradesh,2007,120,151,273,309,436,443,513,337,2582
Himachal Pradesh,2008,103,106,219,255,297,414,382,206,1982
Himachal Pradesh,2009,135,153,322,366,500,653,566,383,3078
Himachal Pradesh,2010,153,192,372,360,396,633,626,345,3077
Himachal Pradesh,2011,100,124,353,465,472,693,577,315,3099
Himachal Pradesh,2012,114,128,332,459,434,539,558,335,2899
Himachal Pradesh,2013,100,116,353,502,489,547,548,326,2981
Himachal Pradesh,2014,199,183,418,517,517,603,558,330,3325
Jammu & Kashmir,2001,337,352,658,1099,1062,864,386,253,5011
Jammu & Kashmir,2002,154,180,582,1293,1118,1001,641,404,5373
Jammu & Kashmir,2003,298,304,639,1038,1292,1177,795,345,5888
Jammu & Kashmir,2004,333,239,958,1677,1441,966,501,166,6281
Jammu & Kashmir,2005,188,396,811,1233,1057,1173,532,279,5669
Jammu & Kashmir,2006,350,235,541,1110,1061,1116,728,468,5609
Jammu & Kashmir,2007,326,418,697,1049,1099,982,842,461,5874
Jammu & Kashmir,2008,261,368,631,999,1139,892,675,461,5426
Jammu & Kashmir,2009,298,386,676,1178,1240,1023,802,409,6012
Jammu & Kashmir,2010,239,287,699,1173,1265,1099,796,584,6142
Jammu & Kashmir,2011,299,298,681,1424,1458,1244,753,508,6665
Jammu & Kashmir,2012,285,347,642,1306,1444,1420,748,445,6637
Jammu & Kashmir,2013,296,352,612,1109,1371,1275,886,554,6455
Jammu & Kashmir,2014,168,442,693,928,1195,1126,833,393,5778
Jharkhand,2001,103,104,117,135,109,120,179,128,995
Jharkhand,2002,101,99,109,100,110,112,138,111,880
Jharkhand,2003,101,110,130,140,135,145,0,119,880
Jharkhand,2004,151,168,199,175,178,172,85,167,1295
Jharkhand,2005,93,289,405,451,384,516,377,224,2739
Jharkhand,2006,207,322,681,706,741,684,513,447,4301
Jharkhand,2007,250,416,683,702,850,816,521,266,4504
Jharkhand,2008,283,345,414,489,474,472,477,305,3259
Jharkhand,2009,326,446,681,744,658,670,524,487,4536
Jharkhand,2010,247,379,706,766,602,648,557,323,4228
Jharkhand,2011,285,355,585,640,582,581,512,361,3901
Jharkhand,2012,351,494,779,705,542,708,626,420,4625
Jharkhand,2013,645,642,649,640,649,644,644,648,5161
Jharkhand,2014,247,592,703,749,670,847,678,419,4905
Karnataka,2001,2426,2925,3775,5210,4799,5131,4807,3787,32860
Karnataka,2002,2663,3482,4123,5865,5414,5315,5141,3658,35661
Karnataka,2003,2719,3398,4095,5735,5696,6154,5687,4027,37511
Karnataka,2004,2576,3106,4140,5955,5888,6400,6371,4315,38751
Karnataka,2005,2949,3198,4665,6193,6095,6658,6377,4138,40273
Karnataka,2006,3264,3702,4738,6871,6425,6709,6839,4732,43280
Karnataka,2007,3239,3590,5350,7142,7486,7193,7263,5071,46334
Karnataka,2008,3181,3802,5471,6533,7183,7051,7159,5872,46252
Karnataka,2009,3107,3750,5001,6399,6733,7066,7258,5876,45190
Karnataka,2010,3481,5270,5268,6922,6451,6951,7207,4670,46220
Karnataka,2011,3468,3807,4657,6606,6568,7376,7501,4713,44696
Karnataka,2012,3085,2802,4472,6842,6753,7802,7431,5261,44448
Karnataka,2013,3318,3174,4126,6104,5836,6201,6526,4306,39591
Karnataka,2014,3022,3219,4576,6393,6646,7119,7377,5342,43694
Kerala,2001,892,1610,4820,6684,6119,7610,5960,2744,36439
Kerala,2002,669,1187,4685,6397,6322,7579,5296,2399,34534
Kerala,2003,748,1312,3882,6152,4914,7019,5616,2304,31947
Kerala,2004,1439,2124,5143,8107,6328,8252,6534,3176,41103
Kerala,2005,1205,1763,4977,7620,6244,8601,7961,3924,42295
Kerala,2006,1553,1877,4438,7140,6446,8461,7587,4226,41728
Kerala,2007,1501,2486,4064,7433,5865,7854,7083,3575,39861
Kerala,2008,836,1356,4278,6871,6077,8426,6768,2626,37238
Kerala,2009,664,1283,4468,6606,5648,7755,6762,2271,35457
Kerala,2010,892,1271,4127,6328,5380,7838,6864,2382,35082
Kerala,2011,595,1265,5051,6119,6393,8071,6335,1387,35216
Kerala,2012,583,785,3720,6795,6091,8075,7359,2766,36174
Kerala,2013,620,1341,5378,6329,6210,7706,6207,1424,35215
Kerala,2014,759,1232,4145,6709,6057,8172,6114,2684,35872
Lakshadweep,2001,0,0,0,1,0,1,1,3,6
Lakshadweep,2002,0,0,0,0,0,0,0,0,0
Lakshadweep,2003,0,0,0,0,0,0,1,0,1
Lakshadweep,2004,0,0,0,0,1,0,1,0,2
Lakshadweep,2005,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0,0,1,0,1
Lakshadweep,2007,0,0,0,1,1,0,0,0,2
Lakshadweep,2008,0,0,0,0,0,0,0,0,0
Lakshadweep,2009,1,0,0,0,0,0,0,0,1
Lakshadweep,2010,0,0,0,0,0,0,0,0,0
Lakshadweep,2011,0,0,0,0,0,0,0,0,0
Lakshadweep,2012,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,0,0,0,0,0,0,0,0,0
Lakshadweep,2014,0,0,0,0,1,0,0,0,1
Madhya Pradesh,2001,1418,1740,2938,3323,2906,2875,2744,1768,19712
Madhya Pradesh,2002,1467,2182,3107,3801,3325,3323,3340,2334,22879
Madhya Pradesh,2003,1872,2165,3138,3798,3397,3128,2896,2222,22616
Madhya Pradesh,2004,1443,1828,3043,4301,3657,3734,3367,2218,23591
Madhya Pradesh,2005,1504,1770,2906,3504,3504,3245,3012,2029,21474
Madhya Pradesh,2006,1652,1719,3541,4160,4198,3875,3522,2371,25038
Madhya Pradesh,2007,1867,1927,3574,4901,4971,4345,3964,2895,28444
Madhya Pradesh,2008,2307,2370,4316,5946,5873,5516,4808,3180,34316
Madhya Pradesh,2009,2275,2408,3807,5467,4996,5157,4896,3326,32332
Madhya Pradesh,2010,1970,2125,3344,4994,4766,4686,4888,3354,30127
Madhya Pradesh,2011,2083,2248,3698,4833,4896,4999,4463,3353,30573
Madhya Pradesh,2012,1664,1873,3785,5082,4969,5035,4240,2525,29173
Madhya Pradesh,2013,1747,2126,3874,6025,5688,5991,5282,3301,34034
Madhya Pradesh,2014,1925,2384,5370,7106,7337,7030,5791,2755,39698
Maharashtra,2001,3483,3893,3986,5088,5099,5185,5335,5200,37269
Maharashtra,2002,3411,3412,4533,5744,5622,5812,5796,5231,39561
Maharashtra,2003,3698,4029,4966,5926,6287,6261,6494,5361,43022
Maharashtra,2004,4082,4352,5077,6115,6380,6559,6542,5432,44539
Maharashtra,2005,4140,4207,5212,6631,6737,6760,7058,5841,46586
Maharashtra,2006,4653,4724,5569,6498,6735,7013,7393,6302,48887
Maharashtra,2007,5132,4797,5580,7168,7385,7378,7714,6821,51975
Maharashtra,2008,4349,4633,5669,6911,7019,7070,7610,6418,49679
Maharashtra,2009,4400,4469,5451,6974,6718,7046,7592,6215,48865
Maharashtra,2010,4324,4585,5658,7050,7233,7583,7836,6350,50619
Maharashtra,2011,4334,4739,5489,6610,6677,7048,6883,5340,47120
Maharashtra,2012,4125,4655,5239,6093,6176,6857,6668,5434,45247
Maharashtra,2013,3647,3649,4822,5901,6211,6727,7368,5538,43863
Maharashtra,2014,3376,3330,4853,6430,6522,7126,7421,5324,44382
Manipur,2001,0,7,82,111,87,87,34,2,410
Manipur,2002,0,0,65,161,126,142,21,5,520
Manipur,2003,1,18,73,136,92,134,56,13,523
Manipur,2004,0,10,50,129,86,115,64,14,468
Manipur,2005,13,26,89,110,113,115,103,31,600
Manipur,2006,7,27,69,129,114,89,68,18,521
Manipur,2007,6,27,70,146,125,89,57,18,538
Manipur,2008,11,26,99,134,100,79,41,12,502
Manipur,2009,14,24,113,83,93,138,75,38,578
Manipur,2010,27,47,75,124,130,116,59,24,602
Manipur,2011,26,52,91,123,153,107,105,34,691
Manipur,2012,54,75,96,143,126,121,100,56,771
Manipur,2013,7,13,64,102,190,142,124,29,671
Manipur,2014,7,8,47,162,148,173,141,49,735
Meghalaya,2001,10,11,21,27,26,25,28,13,161
Meghalaya,2002,32,37,57,84,63,74,77,41,465
Meghalaya,2003,43,44,50,54,54,49,41,38,373
Meghalaya,2004,27,39,41,52,40,59,32,38,328
Meghalaya,2005,12,29,42,55,52,50,56,34,330
Meghalaya,2006,4,2,24,22,29,37,36,22,176
Meghalaya,2007,3,5,15,16,15,24,24,55,157
Meghalaya,2008,11,17,23,22,31,26,22,39,191
Meghalaya,2009,17,16,37,48,55,53,48,40,314
Meghalaya,2010,17,21,25,39,49,43,32,31,257
Meghalaya,2011,10,22,37,38,42,47,39,26,261
Meghalaya,2012,25,29,45,61,60,59,39,37,355
Meghalaya,2013,7,17,21,23,29,28,38,31,194
Meghalaya,2014,10,19,30,45,59,55,50,33,301
Mizoram,2001,5,5,10,12,11,9,14,6,72
Mizoram,2002,1,5,4,9,8,4,3,7,41
Mizoram,2003,8,6,8,8,13,8,9,11,71
Mizoram,2004,2,5,4,6,7,4,3,7,38
Mizoram,2005,3,2,5,9,15,18,16,3,71
Mizoram,2006,3,9,7,10,7,13,13,10,72
Mizoram,2007,1,1,3,9,14,15,8,1,52
Mizoram,2008,12,9,9,12,9,12,16,8,87
Mizoram,2009,9,7,9,4,7,4,16,15,71
Mizoram,2010,14,13,24,12,13,16,20,13,125
Mizoram,2011,5,3,10,9,8,24,20,18,97
Mizoram,2012,2,11,16,26,15,24,9,7,110
Mizoram,2013,4,5,9,17,16,26,20,17,114
Mizoram,2014,5,12,11,9,11,20,15,12,95
Nagaland,2001,0,1,3,3,9,21,19,4,60
Nagaland,2002,2,4,4,7,4,9,3,1,34
Nagaland,2003,1,2,8,11,7,11,13,3,56
Nagaland,2004,3,2,7,17,9,15,11,4,68
Nagaland,2005,3,1,6,12,13,9,7,2,53
Nagaland,2006,4,5,10,17,10,15,11,5,77
Nagaland,2007,4,2,13,15,18,6,10,7,75
Nagaland,2008,0,2,12,18,28,28,26,12,126
Nagaland,2009,1,2,7,5,11,10,3,8,47
Nagaland,2010,0,1,6,4,13,9,3,8,44
Nagaland,2011,2,4,2,4,6,8,3,3,32
Nagaland,2012,6,0,3,4,7,6,7,9,42
Nagaland,2013,0,2,5,7,10,5,6,4,39
Nagaland,2014,0,2,3,3,8,6,5,1,28
Odisha,2001,517,811,1153,1005,797,781,715,627,6406
Odisha,2002,480,722,1086,1132,933,941,921,635,6850
Odisha,2003,427,949,1113,1020,756,863,900,647,6675
Odisha,2004,506,805,943,1126,844,1168,1097,789,7278
Odisha,2005,478,810,1002,1317,981,1251,1127,627,7593
Odisha,2006,547,999,986,1259,932,1230,1038,738,7729
Odisha,2007,632,904,1065,1454,951,1324,1060,824,8214
Odisha,2008,595,858,1076,1371,1075,1371,1033,805,8184
Odisha,2009,608,836,1046,1501,1218,1433,1313,937,8892
Odisha,2010,724,928,1031,1504,1349,1492,1416,969,9413
Odisha,2011,756,1015,1043,1442,1179,1516,1390,1057,9398
Odisha,2012,978,1289,950,1189,1096,1261,1509,1013,9285
Odisha,2013,780,1029,1100,1452,1188,1520,1518,1093,9680
Odisha,2014,661,880,1099,1413,1283,1651,1564,1089,9640
Puducherry,2001,24,53,141,263,236,255,235,79,1286
Puducherry,2002,36,44,164,268,264,283,275,150,1484
Puducherry,2003,40,44,212,302,256,285,290,157,1586
Puducherry,2004,48,53,206,263,277,309,325,152,1633
Puducherry,2005,57,81,234,271,284,302,390,161,1780
Puducherry,2006,31,18,146,331,312,285,314,202,1639
Puducherry,2007,51,72,250,312,262,301,355,141,1744
Puducherry,2008,53,49,189,266,270,287,360,224,1698
Puducherry,2009,41,48,232,264,257,295,340,221,1698
Puducherry,2010,43,61,155,251,238,272,319,190,1529
Puducherry,2011,38,66,174,234,246,285,307,130,1480
Puducherry,2012,35,66,209,276,202,229,319,174,1510
Puducherry,2013,31,58,162,207,225,267,336,165,1451
Puducherry,2014,28,23,58,109,97,179,115,62,671
